event_id,user_id,product_id,event_type,event_timestamp,name,email,gender,city,signup_date,product_name,category,brand,price,rating
E00000001,U009798,P001393,Cart,2025-07-08 14:28:55.893919,Rebecca Blanchard,teresamullins@example.net,Other,Lake Nicholeshire,2024-01-27,Willow Several,Automotive,Willow,314.95,3.1
E00052489,U000716,P000628,Cart,2025-05-27 23:42:22.765378,Paige Weber,zterry@example.net,Other,Roweport,2025-03-16,Astra Small,Electronics,Astra,612.23,4.58
E00052487,U002538,P001302,Cart,2024-12-22 03:54:52.939093,Jose Scott,jenniferpeters@example.com,Other,,2025-01-25,Astra Establish,Sports,Astra,13.29,4.64
E00052486,U000227,P000979,View,2024-12-03 10:49:29.272881,Mark Walters,whenry@example.net,Female,Reynoldsshire,2025-10-24,,Home & Kitchen,Solace,23.87,3.53
E00052485,U000825,P000047,View,2024-06-17 18:30:23.128829,Wayne Rodriguez,jacobbrown@example.org,Male,West Tonya,2024-11-28,Acme Together,Beauty,Acme,94.71,3.71
E00052484,U002497,P000831,Purchase,2024-02-20 00:11:44.734804,Susan Lamb,klewis@example.net,Male,Port Ronaldland,2025-09-09,,Pet Supplies,Zenith,24.43,3.21
E00052483,U009755,P000838,View,2025-10-30 11:17:21.582571,Patricia Thompson,medinajoseph@example.org,Other,Aguilarfort,2024-08-31,Nimbus These,Clothing,Nimbus,57.65,2.85
E00052482,U009460,P000682,View,2025-07-24 17:57:13.428328,Jodi Kelly,chad69@example.com,Female,Parkerfort,2024-05-03,Nimbus Stage,Automotive,Nimbus,541.92,3.94
E00052481,U007937,P000089,View,2024-12-22 11:25:11.830123,Monica Hall,christopher52@example.net,Female,Bakerberg,2025-11-04,Harbor Necessary,Sports,Harbor,43.43,3.55
E00052479,U005749,P001356,View,2024-09-01 08:18:28.218743,Elizabeth Jackson,knoxnicole@example.net,Male,East Joshuabury,2025-02-26,Zenith Center,Toys,Zenith,48.15,2.52
E00052478,U004722,P001733,View,2025-10-05 23:36:39.609700,Jason Brown,snydercatherine@example.net,Male,East Jacqueline,2024-04-16,Zenith Hour,Clothing,Zenith,166.64,3.39
E00052477,U004329,P001186,View,2025-08-12 15:28:44.496718,Jessica Saunders,steven65@example.net,Other,Shawnstad,2024-11-07,Solace Commercial,Groceries,Solace,26.74,2.63
E00052476,U005316,P001600,View,2025-06-23 15:56:30.189947,Bill Ochoa,henrykimberly@example.org,Other,Rodgersberg,2025-02-13,Harbor Significant,Sports,Harbor,28.77,3.62
E00052475,U005566,P000110,View,2025-01-08 03:31:44.902069,Bonnie Rodgers,williamhernandez@example.net,Female,Port Christina,2025-07-30,Zenith Coach,Clothing,Zenith,154.67,2.5
E00052474,U007985,P000662,View,2024-03-08 04:58:57.778460,Caroline Pruitt,jacqueline57@example.org,Female,Brandichester,2025-11-09,Pulse For,Pet Supplies,Pulse,71.4,2.88
E00052472,U000557,P001112,View,2025-10-30 21:59:25.165999,Gary Lane,brian41@example.org,Other,South Raymond,2025-05-11,Willow Sing,Groceries,Willow,22.26,2.93
E00052470,U009682,P000816,View,2024-08-23 05:28:10.779481,Angela Sutton,james47@example.net,Other,Davisland,2024-12-25,,Toys,Pulse,56.6,4.26
E00052488,U005033,P000835,View,2025-08-19 12:59:48.915346,Michelle Snyder,cannonsusan@example.net,Female,Lake Michaelville,2024-11-30,Acme School,Books,Acme,17.57,4.28
E00052490,U006821,P001409,View,2025-08-12 16:27:00.409542,Marc Evans,christy33@example.com,Male,,2025-06-28,Willow Open,Books,Willow,44.71,4.54
E00052468,U007977,P000070,View,2024-04-13 21:28:40.172759,Jennifer Hensley,michaelwest@example.com,Male,Dominguezfurt,2025-03-06,Solace Other,Electronics,Solace,802.45,3.67
E00052491,U007728,P000057,View,2024-09-11 16:14:18.947510,Derrick Jones,uedwards@example.org,Female,Kathleenport,2025-08-28,Zenith What,Beauty,Zenith,73.71,3.32
E00052508,U006226,P001468,Cart,2025-08-11 10:26:04.412306,Anthony Freeman,gsmith@example.com,Other,Robertschester,,NeoTech Town,Automotive,NeoTech,212.1,2.7
E00052507,U007008,P000770,View,2024-05-17 14:48:14.383608,Daniel Stokes,glennpacheco@example.org,Other,Villaland,2025-01-02,,Pet Supplies,Nimbus,155.4,3.77
