review_id,order_id,product_id,user_id,rating_x,review_text,review_date,name,email,gender,city,signup_date,product_name,category,brand,price,rating_y
R00000528,O00000237,P001326,U001094,2.0,Color was different from images.,2025-10-14 12:03:56.749446,Lisa Daugherty,hoffmanjared@example.com,Other,North Donald,2024-08-15,GreenLeaf Interview,Clothing,GreenLeaf,61.39,4.0
R00018553,O00008568,P001344,U005616,3.0,Value for money.,2024-07-21 14:27:37.749730,Timothy Grant,paula52@example.net,Male,North Kylechester,2024-03-07,Orion Second,Pet Supplies,Orion,103.47,2.72
R00040036,O00018362,P001706,U007127,3.0,Highly recommend this brand.,2024-04-29 09:39:16.110742,Jon Mitchell,karen16@example.com,Other,Tiffanyland,2025-07-09,Willow Measure,Electronics,Willow,970.1,4.04
R00023707,O00010937,P001852,U008044,1.0,Fast shipping and good packaging.,2024-01-28 22:47:22.836308,Lauren Allen,qgarcia@example.net,,Leemouth,2024-09-08,Everest All,Automotive,Everest,643.14,4.29
R00014523,O00006692,P000224,U004164,5.0,"Not as expected, quality is poor.",2024-04-27 02:24:03.789920,Jessica Smith,,Female,Port Brianchester,2024-12-19,Astra Else,Automotive,Astra,88.96,2.52
R00042660,O00019603,P000856,U001876,4.0,Value for money.,2024-01-27 17:58:18.946817,Mary Porter,alexander70@example.org,Female,Port Neilfurt,2024-07-27,Acme Part,Sports,Acme,113.75,4.22
R00006951,O00003143,P000782,U004361,3.0,Item arrived damaged.,2024-06-09 15:10:05.113832,Andrew Shaffer,vgreen@example.net,Male,South Robertport,2024-01-05,Harbor None,Pet Supplies,Harbor,35.82,3.56
R00028521,O00013121,P001097,U000781,4.0,Fast shipping and good packaging.,2024-09-09 23:16:19.170221,Alexander Valdez,michelleperez@example.net,Other,South Jesus,2025-06-02,Astra Son,Sports,Astra,223.08,3.56
R00022940,O00010585,P000957,U003906,3.0,Value for money.,2024-08-22 03:36:38.525399,Stacey Figueroa,keithsimmons@example.net,Male,North Candiceview,2024-02-03,Pulse Consider,Groceries,Pulse,20.31,3.49
R00013996,O00006444,P000545,U000911,4.0,"Not as expected, quality is poor.",2025-11-09 18:29:10.344774,Michelle Spence,lukemyers@example.net,Male,Briggsville,2025-06-23,Pulse Understand,Sports,Pulse,55.49,
R00025192,O00011628,P000734,U002070,4.0,Customer service was helpful.,2025-06-13 12:07:59.320697,Jon Ramirez,melissaroy@example.com,Male,New Joshua,2024-11-09,Acme Like,Clothing,Acme,86.34,
R00032353,O00014857,P001201,U007863,4.0,Highly recommend this brand.,2024-06-18 13:37:07.267304,Mackenzie Elliott,harringtonvanessa@example.com,Male,West Kaitlinland,2024-03-23,Astra Cell,Beauty,Astra,37.71,4.2
R00020415,O00009435,P000147,U006966,5.0,Customer service was helpful.,2025-07-29 17:19:02.056364,Christopher Allen,jeremiahwells@example.net,Male,South Chadhaven,2025-02-19,NeoTech Beat,Toys,NeoTech,52.33,4.29
R00040637,O00018631,P001254,U000614,3.0,Highly recommend this brand.,2024-12-27 10:44:22.890118,Robert Ramos,lindawaller@example.com,Other,Taylorshire,2025-05-22,Nimbus Job,Toys,Nimbus,71.59,3.67
R00021510,O00009937,P001008,U004712,2.0,Color was different from images.,2024-12-28 14:33:57.227279,Francisco Aguirre,jessepark@example.net,Other,North Jeremiah,2025-04-24,GreenLeaf Meet,Home & Kitchen,GreenLeaf,438.35,2.53
R00016524,O00007629,P000145,U004321,3.0,Color was different from images.,2024-02-09 20:10:33.149636,Tina Perry,ehill@example.org,Male,Bensonbury,2025-03-12,Willow Him,Home & Kitchen,Willow,219.69,
R00035580,O00016337,P001342,U002115,5.0,"Not as expected, quality is poor.",2025-02-19 13:15:21.004520,Wendy Martin,kendra53@example.com,Other,South Anita,2025-01-25,Orion Young,Beauty,Orion,34.69,4.4
R00003810,O00001724,P001611,U007185,4.0,Highly recommend this brand.,2025-06-06 21:14:16.858718,James Gordon,lucasdeborah@example.org,Male,East Cameron,2024-06-20,Willow Benefit,Electronics,Willow,1028.88,2.86
R00041657,O00019112,P000288,U007456,4.0,Item arrived damaged.,2025-08-23 18:24:15.924962,Joseph Hernandez,sandra66@example.org,Female,Toddview,2024-05-26,,Beauty,Acme,106.67,3.28
R00032677,O00014999,P000357,U009945,3.0,Fast shipping and good packaging.,2024-05-01 11:23:19.455223,Kristen Anderson,hernandezmatthew@example.org,Female,Ricemouth,2025-02-28,Astra Hundred,Electronics,Astra,1423.47,3.6
R00042395,O00019469,P001590,U002710,3.0,Works perfectly!,2025-02-03 16:50:14.795219,Bridget Hall,nicholas60@example.com,Female,Jasminetown,2024-05-27,Solace Institution,Clothing,Solace,11.57,2.81
R00035651,O00016370,P000099,U007749,5.0,Fast shipping and good packaging.,2025-04-26 17:58:50.374774,Roy Bates,anitawhite@example.com,Other,Lake Amy,2024-11-06,GreenLeaf Effort,Groceries,GreenLeaf,24.6,4.26
R00019102,O00008822,P000278,U009544,3.0,"Excellent product, will buy again.",2024-10-29 20:06:28.729836,Joann Kirk,,Female,Castillobury,2025-08-26,Astra Goal,Beauty,Astra,37.69,3.99
R00031454,O00014444,P001600,U006810,4.0,"Excellent product, will buy again.",2025-07-28 09:38:22.065692,Scott Guerrero,debra61@example.com,Other,East Davidberg,2025-02-04,Harbor Significant,Sports,Harbor,28.77,3.62
R00005991,O00002712,P000882,U009969,3.0,Works perfectly!,2025-04-09 21:29:47.294628,Maria Sanchez,carrillojade@example.org,Other,East Deniseshire,,Nimbus Somebody,Sports,Nimbus,215.65,4.55
R00027506,O00012649,P000839,U009669,3.0,Color was different from images.,2025-03-17 15:39:53.727647,Diane Madden,,Female,North Paulmouth,2024-09-13,Harbor Simple,Books,Harbor,67.27,2.64
R00037388,O00017165,P000610,U003479,3.0,"Not as expected, quality is poor.",2025-06-26 05:56:00.393284,Heidi Payne,feliciawebster@example.org,Other,Cruzstad,2024-05-01,GreenLeaf Side,Home & Kitchen,GreenLeaf,101.29,2.55
R00029919,O00013752,P001338,U003217,4.0,Works perfectly!,2025-01-15 17:33:55.078234,Jennifer Grimes,brentnguyen@example.net,Male,New Tashastad,2024-06-20,Astra Key,Beauty,Astra,54.86,4.06
R00005846,O00002651,P000127,U004973,2.0,"Not as expected, quality is poor.",2024-10-28 18:43:47.435433,Raymond Hernandez,hodgesara@example.org,Female,Philiptown,2024-01-26,,Home & Kitchen,Willow,255.94,3.44
R00008414,O00003849,P000991,U008342,5.0,"Not as expected, quality is poor.",2025-04-26 19:30:31.043229,Carrie Figueroa,benjamincontreras@example.org,Male,Scottmouth,2024-11-14,Everest Drug,Clothing,Everest,19.08,4.39
R00000379,O00000170,P000743,U003435,4.0,Fast shipping and good packaging.,2025-10-06 12:30:18.722655,John Robinson,catherinewhite@example.net,Other,Port Dominicland,2025-09-01,Harbor Fill,Electronics,Harbor,270.47,3.52
R00040536,O00018581,P001384,U001080,2.0,Fast shipping and good packaging.,2024-09-20 00:29:30.041268,Colin Rodriguez,robert75@example.org,Other,Wilsonmouth,2024-11-24,Pulse Few,Clothing,Pulse,15.03,4.77
R00012558,O00005770,P000520,U009115,1.0,Item arrived damaged.,2025-04-03 01:45:30.381770,Douglas Thomas,mmedina@example.org,Other,Hartberg,2025-01-11,Acme Appear,Beauty,Acme,161.29,2.57
R00006739,O00003050,P001546,U008338,5.0,Decent product for the price.,2025-05-08 12:49:38.258620,Laurie Rivas,nicole47@example.com,Male,Youngland,2024-09-21,Nimbus Head,Toys,Nimbus,100.3,3.9
R00016363,O00007556,P000792,U000846,3.0,Highly recommend this brand.,2025-03-26 10:28:42.185325,Sandra Haynes,udavis@example.net,Female,Port Sarahport,2024-07-12,Zenith Might,Sports,Zenith,228.3,3.99
R00018834,O00008700,P000641,U005559,5.0,Decent product for the price.,2025-02-19 02:59:40.571316,Daniel Dixon,catherine77@example.org,Other,Ericaview,2024-06-26,Everest Benefit,Clothing,Everest,86.47,2.58
R00011361,O00005228,P001042,U001507,4.0,"Not as expected, quality is poor.",2024-12-12 23:41:46.388045,Hannah Roy,millerfrederick@example.net,Male,North Haileyfort,2025-06-14,Pulse Degree,Home & Kitchen,Pulse,225.0,3.64
R00011879,O00005460,P000540,U003995,2.0,Customer service was helpful.,2025-06-12 20:48:44.032957,Jason Bass,qshepherd@example.org,Female,Port Nicoletown,,Zenith Foreign,Automotive,Zenith,337.8,3.08
R00023839,O00011001,P001299,U005833,4.0,Fast shipping and good packaging.,2025-04-15 13:26:01.764341,Wendy Mcclain,uhill@example.org,Female,West Carolynchester,2024-10-30,,Toys,Everest,,4.85
R00023584,O00010877,P001110,U009657,,Item arrived damaged.,2025-11-04 20:44:18.695115,Craig Cunningham,bwhite@example.net,Female,,2025-03-19,Zenith Again,Toys,Zenith,143.9,4.4
R00039616,O00018163,P000576,U007909,5.0,Value for money.,2024-07-23 23:59:59.022321,James Li,pbrown@example.org,,Lake Rodneyland,2024-11-20,Zenith Air,Pet Supplies,Zenith,9.8,4.48
R00025486,O00011762,P001702,U007632,3.0,"Not as expected, quality is poor.",2024-12-18 07:35:56.436091,Summer Cordova,ssummers@example.org,Female,Hernandezport,2024-02-16,Pulse Set,Beauty,Pulse,154.05,4.07
R00002099,O00000968,P000657,U005475,3.0,"Not as expected, quality is poor.",2025-02-10 20:34:21.872026,Jennifer Jacobs,wendy85@example.org,Other,Garzafort,2024-12-26,Willow Student,Pet Supplies,Willow,23.33,3.47
R00023429,O00010810,P000493,U008998,5.0,Item arrived damaged.,2025-02-26 21:03:40.673843,Tyler Morrow,dawnmolina@example.com,Other,Lake Toddmouth,2025-10-29,Pulse Manage,Beauty,Pulse,113.45,2.53
R00026387,O00012158,P001076,U008534,4.0,Highly recommend this brand.,2025-05-18 19:50:36.923622,Timothy Kane,mgonzalez@example.org,Male,Port Keith,2024-03-11,Pulse Take,Automotive,Pulse,139.06,2.85
R00031095,O00014281,P001558,U003838,5.0,Item arrived damaged.,2025-06-12 14:08:34.839705,Douglas Leach,srodgers@example.net,Other,Jonathanshire,2025-05-21,Everest Factor,Clothing,Everest,142.38,2.78
R00039673,O00018191,P001367,U000861,4.0,Color was different from images.,2024-02-06 12:05:44.362472,Chad Oconnor,jenniferelliott@example.net,Female,South Lorraine,2025-01-01,Orion Theory,Sports,Orion,283.47,
R00021852,O00010092,P000438,U007079,5.0,Highly recommend this brand.,2025-06-24 14:29:34.068352,Angelica Waller,peter74@example.net,Other,South Juliehaven,2024-06-10,Orion Pm,Home & Kitchen,Orion,167.79,2.98
R00041885,O00019218,P000163,U002431,3.0,Works perfectly!,2024-06-07 17:30:00.047478,Donna Allison,gduke@example.net,Other,Michaelshire,2024-08-26,GreenLeaf Simply,Beauty,GreenLeaf,31.44,3.84
R00031256,O00014354,P001264,U001521,4.0,Fast shipping and good packaging.,2024-02-07 12:42:54.901366,Michelle Williams,ukramer@example.net,Male,Matthewburgh,2025-06-02,Orion Western,Home & Kitchen,Orion,97.57,2.84
R00026291,O00012112,P001334,U006914,5.0,Value for money.,2024-05-04 17:31:52.729751,Tracy Miller,smithjacob@example.org,Other,Tonyashire,2025-02-05,Solace Personal,Beauty,Solace,156.31,3.49
R00012622,O00005798,P000710,U000876,5.0,Works perfectly!,2025-09-06 15:51:22.993539,Eric Martinez,xsmith@example.net,Female,Jeremyfurt,2024-12-17,Zenith Too,Sports,Zenith,110.33,3.26
R00042827,O00019684,P001364,U000486,4.0,"Not as expected, quality is poor.",2024-07-16 06:09:44.596408,Nathaniel Todd,rodriguezbrian@example.net,Male,Port Marissa,2024-05-16,Acme Modern,Books,Acme,27.65,4.22
R00017580,O00008120,P001399,U006247,2.0,Item arrived damaged.,2024-11-03 01:27:39.587089,Mary Reyes,wattschristina@example.org,Other,New Lauraberg,2024-10-29,Nimbus Foreign,,Nimbus,40.7,4.62
R00017081,O00007889,P000192,U008843,4.0,Decent product for the price.,2024-05-28 07:03:05.055749,Kimberly Hernandez,robertmcknight@example.net,Female,East Rebecca,2024-07-08,Pulse Near,Electronics,Pulse,455.43,4.88
R00008754,O00004006,P000447,U001006,4.0,Highly recommend this brand.,2025-04-21 06:08:37.731888,Kenneth Ho,ygardner@example.com,Male,East Alishamouth,2024-07-27,Astra Shake,Beauty,Astra,127.26,4.31
R00012128,O00005573,P000375,U001336,3.0,Color was different from images.,2025-09-19 06:16:06.692684,Kathleen Schneider,ariel90@example.net,Female,Lake Jenniferberg,2025-02-23,Nimbus Choice,Home & Kitchen,Nimbus,21.73,3.12
R00009119,O00004182,P001417,U005907,5.0,Customer service was helpful.,2025-03-28 15:28:47.087693,Justin Davis,wendytucker@example.net,Other,North Tina,2024-07-31,GreenLeaf Less,Automotive,GreenLeaf,373.48,4.59
R00009540,O00004392,P000491,U006210,2.0,Fast shipping and good packaging.,2024-11-17 04:54:31.300683,Michael Taylor,jenkinsmariah@example.net,Other,Perezland,2024-05-26,Willow Answer,Electronics,Willow,398.86,2.95
R00000930,O00000416,P001109,U005686,3.0,Highly recommend this brand.,2025-01-16 09:12:18.389968,Jose Clay,andersonsandra@example.org,Female,East Rebecca,2024-10-10,Acme So,Toys,Acme,33.05,2.98
R00004762,O00002163,P001093,U001680,4.0,"Excellent product, will buy again.",2024-02-14 16:23:04.494104,Erin Brown,pvang@example.net,Other,Smallton,2025-05-09,Harbor By,Groceries,Harbor,21.91,3.86
R00033243,O00015266,P001421,U002223,1.0,Item arrived damaged.,2025-08-13 09:32:35.343484,David Crawford,leonardmiranda@example.com,Female,Williamchester,2025-05-12,Astra Mean,Electronics,Astra,371.46,4.41
R00030271,O00013908,P000109,U002999,2.0,Works perfectly!,2024-12-16 18:23:05.749433,Christopher Adams,gonzaleznatalie@example.net,Male,Crystalmouth,2024-12-07,Everest Interesting,Clothing,Everest,188.18,4.31
