order_item_id,order_id,product_id,user_id,quantity,item_price,item_total,order_date,order_status,total_amount,product_name,category,brand,price,rating,name,email,gender,city,signup_date,item_revenue
I00000001,O00000001,P001758,U009310,2.0,8.07,16.14,2025-09-09 14:52:37.292731,Processing,689.66,Everest Whole,Pet Supplies,Everest,8.07,2.69,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,16.14
I00028796,O00013244,P000446,U009679,1.0,68.43,68.43,2024-01-12 14:25:12.736023,Cancelled,68.43,,Clothing,GreenLeaf,68.43,3.24,Matthew Jordan,losborne@example.com,Other,Gregorymouth,2024-02-01,68.43
I00028798,O00013245,P001420,U007391,1.0,114.66,114.66,2025-08-26 21:26:34.877799,Completed,,NeoTech Democrat,Clothing,NeoTech,114.66,2.61,Linda Gonzalez,gary18@example.com,Male,,2024-10-25,114.66
I00028799,O00013246,P001955,U004554,1.0,124.68,124.68,2025-05-18 00:37:20.715594,Returned,124.68,Astra Remain,Beauty,Astra,124.68,4.88,Kristen Villarreal,anneschultz@example.com,Other,West Donaldshire,2025-05-29,124.68
I00028800,O00013247,P001472,U006926,1.0,40.71,40.71,2024-04-24 09:30:51.674828,Shipped,40.71,Zenith Rate,Toys,Zenith,40.71,3.53,Ann Martin,pam28@example.com,Other,Port Amandaside,2024-11-18,40.71
I00028801,O00013248,P001265,U007577,1.0,59.96,59.96,2025-09-28 11:33:03.443020,Shipped,1298.89,Harbor May,Clothing,Harbor,59.96,3.91,Michael Diaz,juangarcia@example.net,Male,Dayland,2024-09-06,59.96
I00028802,O00013248,P000298,U007577,1.0,1238.93,1238.93,2025-09-28 11:33:03.443020,Shipped,1298.89,Zenith Deal,Electronics,Zenith,,4.34,Michael Diaz,juangarcia@example.net,Male,Dayland,2024-09-06,1238.93
I00028803,O00013249,P001212,U002657,1.0,49.21,49.21,2025-10-09 09:59:12.312945,Cancelled,537.14,Harbor Be,Clothing,Harbor,49.21,2.51,Nathan Tran,todd94@example.com,Other,Sarahville,2024-09-07,49.21
I00028804,O00013249,P001727,U002657,2.0,228.38,456.76,2025-10-09 09:59:12.312945,Cancelled,537.14,Harbor Resource,Home & Kitchen,Harbor,228.38,3.52,Nathan Tran,todd94@example.com,Other,Sarahville,2024-09-07,456.76
I00028805,O00013249,P001073,U002657,1.0,31.17,31.17,2025-10-09 09:59:12.312945,Cancelled,537.14,Everest Own,Beauty,Everest,31.17,2.56,Nathan Tran,todd94@example.com,Other,Sarahville,2024-09-07,31.17
I00028806,O00013250,P000921,U004048,1.0,47.82,47.82,2024-01-08 17:36:36.671178,Returned,139.75,Acme Military,Home & Kitchen,Acme,47.82,4.8,Sarah Patterson,tanner72@example.com,Other,Lake Ethanmouth,2025-09-19,47.82
I00028807,O00013250,P000768,U004048,1.0,,50.78,2024-01-08 17:36:36.671178,Returned,139.75,Harbor Wind,Pet Supplies,Harbor,50.78,2.66,Sarah Patterson,tanner72@example.com,Other,Lake Ethanmouth,2025-09-19,
